
=== Optimize EPUB ===
💾 Optimized 1aeb8ba526_circuit-breaker-pattern.jpg: 39.9% smaller
💾 Optimized 1b330265cd_ch08-rlvr-training-gym.jpg: 35.5% smaller
💾 Optimized 1b6bb72f9d_clm-vs-mlm-puzzle.jpg: 40.0% smaller
💾 Optimized 1b85ea9ef3_rlhf-talent-show.jpg: 36.4% smaller
💾 Optimized 1bdd5820a4_ch25-computer-use-desktop.jpg: 37.5% smaller
💾 Optimized 1bdeb3efd4_fig-9-3-3-tree-structured-verification-evaluates-multiple-candidate-pa.jpg: 34.8% smaller
💾 Optimized 1d7679804b_lora.jpg: 38.1% smaller
💾 Optimized 1b999db970_deduplication-twins.jpg: 32.0% smaller
💾 Optimized 1bf45fd1bf_late-interaction-judges.jpg: 33.5% smaller
💾 Optimized 1d7c6139c6_chapter-opener.jpg: 40.9% smaller
💾 Optimized 1d17649b2c_fine-tune-decision-tree.jpg: 33.3% smaller
💾 Optimized 1c390dd8e4_fig-8-4-1-decision-flowchart-for-choosing-between-standard-and-reasoni.jpg: 39.2% smaller
💾 Optimized 1ed9ef1ccb_ch25-opener-specialist-robots.jpg: 39.2% smaller
💾 Optimized 208b5a626f_ewc-rubber-bands.jpg: 38.3% smaller
💾 Optimized 1eddcf498a_fig-0-1-2-gradient-descent-follows-the-slope-downhill-step-by-step-t.jpg: 36.8% smaller
💾 Optimized 1df154397f_advanced-rag-treasure-hunt.jpg: 38.4% smaller
💾 Optimized 21fd6822ba_ch24-shared-memory-whiteboard.jpg: 38.0% smaller
💾 Optimized 1fd7e6a014_synthetic-data-factory.jpg: 35.8% smaller
💾 Optimized 21f95cfdb5_peft-adapter-accessories.jpg: 38.8% smaller
💾 Optimized 2200b8bb51_fig-6-3-7-an-moe-layer-with-6-experts-and-top-2-routing-the-router-as.jpg: 37.6% smaller
💾 Optimized 247e8489f3_chapter-opener.jpg: 36.1% smaller
💾 Optimized 223dd643a9_analogy-gps-words.jpg: 37.2% smaller
💾 Optimized 22a33f2c78_chapter-opener.jpg: 37.5% smaller
💾 Optimized 26462e41de_ml-vs-llm-toolbox.jpg: 37.6% smaller
💾 Optimized 2737f7b54b_chapter-opener.jpg: 40.8% smaller
💾 Optimized 27ad36077f_reasoning-chain-dominos.jpg: 36.0% smaller
💾 Optimized 264afa89d2_hybrid-pipeline-assembly.jpg: 36.1% smaller
💾 Optimized 281a3eb047_reflection-loop.jpg: 34.5% smaller
💾 Optimized 276b336ba4_system-prompt-director.jpg: 32.8% smaller
💾 Optimized 28467f873b_fig-2-2-4-unigram.jpg: 37.9% smaller
💾 Optimized 285ec53f46_fig-20-7-1-graphrag-pipeline.jpg: 35.6% smaller
💾 Optimized 286b41e284_fig-1-4-2-static-contextual.jpg: 35.2% smaller
💾 Optimized 28669ef618_dpo-vs-rlhf-comparison.jpg: 34.7% smaller
💾 Optimized 28c0a0d22d_superposition-coat-rack.jpg: 35.7% smaller
💾 Optimized 29030688ed_fig-25-7-1-coding-agent-generations.jpg: 33.8% smaller
💾 Optimized 2ad98caeef_elmo-contextual.jpg: 39.4% smaller
💾 Optimized 2989edb1c7_pair-programming-robot.jpg: 35.1% smaller
💾 Optimized 29aa28c5e3_prompt-template-cookie-cutter.jpg: 34.3% smaller
💾 Optimized 29ac953461_emergent-abilities-butterfly.jpg: 36.6% smaller
💾 Optimized 2b00bd521f_fig-4-3-2-three-families.jpg: 34.8% smaller
💾 Optimized 2b4a00f6c7_ch34-emergence-mirage.jpg: 37.9% smaller
💾 Optimized 2c26dccd11_model-card-presentation.jpg: 33.6% smaller
💾 Optimized 2b80bf6dca_fig-5-4-2-diffusion.jpg: 34.0% smaller
💾 Optimized 2c28d4601f_data-curation-gold-panning.jpg: 38.6% smaller
💾 Optimized 2c6ed0c85d_vendor-evaluation-market.jpg: 37.0% smaller
💾 Optimized 2c7bdd1d94_fig-32-9-2-gpai-obligations.jpg: 36.7% smaller
💾 Optimized 2c785694da_reliability-engineering-safety-net.jpg: 38.0% smaller
💾 Optimized 2d100adf3a_ch23-function-calling-loop.jpg: 39.5% smaller
💾 Optimized 2d24760894_federated-learning-distributed.jpg: 36.9% smaller
💾 Optimized 2dfe84cb4d_chapter-opener.jpg: 37.3% smaller
💾 Optimized 2e3d4184b6_chapter-opener.jpg: 56.5% smaller
💾 Optimized 2d2c1a74f2_llm-actor-stage.jpg: 32.2% smaller
💾 Optimized 2fdd9eba35_ch26-prompt-injection-trojan.jpg: 37.9% smaller
💾 Optimized 3043881f29_nlp-tasks-overview.jpg: 38.8% smaller
💾 Optimized 2f440b1da5_chapter-opener.jpg: 36.1% smaller
💾 Optimized 3056a8d5b8_fig-0-4-4-how-rl-concepts-map-to-llm-training-with-rlhf-the-llm-is-th.jpg: 36.9% smaller
💾 Optimized 31becdf424_vec.jpg: 37.2% smaller
💾 Optimized 31b3ce81c2_fig-6-1-4-param-growth.jpg: 34.4% smaller
💾 Optimized 31a1565e5f_fig-2-2-5-byte-bpe.jpg: 36.0% smaller
💾 Optimized 3340a97eeb_finetune.jpg: 35.5% smaller
💾 Optimized 30743ba987_diffusion-vs-autoregressive-painters.jpg: 36.8% smaller
💾 Optimized 329c51d10a_cost-engine-levers.jpg: 36.7% smaller
💾 Optimized 345c613ee1_fig-1-3-1-skipgram.jpg: 37.3% smaller
💾 Optimized 3425a7394a_ch25-research-agent-detective.jpg: 38.2% smaller
💾 Optimized 36046a89a1_ch08-compute-optimal-budget.jpg: 36.6% smaller
💾 Optimized 360c0db238_fig-3-1-6-seq2seq.jpg: 31.4% smaller
💾 Optimized 3705b51961_echo.jpg: 35.2% smaller
💾 Optimized 32977d1412_hf-rlhf-training.png: 80.5% smaller
💾 Optimized 367e94b992_chapter-opener.jpg: 36.2% smaller
💾 Optimized 38e449e93e_distill.jpg: 37.4% smaller
💾 Optimized 368c2b0443_fig-18-1-2-common-attention-head-types-observed-across-transformer-mode.jpg: 35.9% smaller
💾 Optimized 37d6c6ee5a_ch08-prompting-reasoning-models.jpg: 39.8% smaller
💾 Optimized 3832c95ba3_fig-4-5-2-complexity.jpg: 34.6% smaller
💾 Optimized 399fee4ae6_quant.jpg: 38.0% smaller
💾 Optimized 391dab83f6_multi-head-detectives.jpg: 39.0% smaller
💾 Optimized 396683f182_quantization-diet.jpg: 43.9% smaller
💾 Optimized 38ef4cb6f9_framework-toolbox.jpg: 34.5% smaller
💾 Optimized 39c574e3dc_four-patterns-toolbelt.jpg: 34.2% smaller
💾 Optimized 39f2ea60b9_bert-reads-both-ways.jpg: 31.9% smaller
💾 Optimized 3a07a8d105_deduplication-clone-detector.jpg: 33.6% smaller
💾 Optimized 3b7273914e_ch08-proof-assistant-handshake.jpg: 37.4% smaller
💾 Optimized 3d4b2e55e5_fig-1-1-6-linguistic-layers.jpg: 36.0% smaller
💾 Optimized 3aded92519_knowledge-graph-islands.jpg: 38.8% smaller
💾 Optimized 3cdecc9836_analogy-filing-cabinet.jpg: 37.6% smaller
💾 Optimized 3e01041756_catastrophic-forgetting.jpg: 40.8% smaller
💾 Optimized 3dc0287aa7_strategy-use-case-funnel.jpg: 40.5% smaller
💾 Optimized 3ede953304_fig-7-1-4-bolt-on-multimodal-architecture-left-connects-a-separate-v.jpg: 34.0% smaller
💾 Optimized 400ced80c6_fig-1-3-5-cosine-sim.jpg: 36.1% smaller
💾 Optimized 408a1a9dd7_embedding-space-party.jpg: 40.1% smaller
💾 Optimized 414e223541_fig-11-6-1-dspy-optimization-loop.jpg: 34.8% smaller
💾 Optimized 40c2997d99_chapter-opener.jpg: 41.2% smaller
💾 Optimized 4228a88edc_bottomup-vs-topdown-tokenization.jpg: 35.7% smaller
💾 Optimized 43f513e8b7_serving-stack-restaurant.jpg: 40.6% smaller
💾 Optimized 43f8ee79e1_fig-31-6-4-retry-taxonomy.jpg: 33.9% smaller
💾 Optimized 44911e61c3_observe-steer-contrast.jpg: 35.9% smaller
💾 Optimized 44f44e52e0_fig-28-1-2-fill-in-the-middle-fim-the-model-receives-prefix-and-suff.jpg: 34.0% smaller
💾 Optimized 4590adf4a9_fig-5-2-3-top-p-sampling.jpg: 31.2% smaller
💾 Optimized 46674c6a75_vibe-coding-loop.jpg: 39.3% smaller
💾 Optimized 4723c936c4_norm.jpg: 37.5% smaller
💾 Optimized 464a88d5b1_ch25-code-agent-debug-loop.jpg: 37.2% smaller
💾 Optimized 463603a99a_fig-2-3-3-multimodal-tokens.jpg: 32.9% smaller
💾 Optimized 47bf8ec5b0_ch23-mcp-usb-analogy.jpg: 37.9% smaller
💾 Optimized 470cd628c3_overfitting-vs-generalization.jpg: 37.9% smaller
💾 Optimized 477931fd08_tokenizer-sushi-chef.jpg: 37.9% smaller
💾 Optimized 4a16cd50da_bert.jpg: 37.1% smaller
💾 Optimized 4980a96b34_fig-9-4-3-llm-request-latency-comprises-the-prefill-phase-ttft-and-t.jpg: 34.2% smaller
💾 Optimized 48f1af6ac5_seed-data-garden.jpg: 33.3% smaller
💾 Optimized 4948f477fe_hnsw-city-navigation.jpg: 40.6% smaller
💾 Optimized 4c05c6c5d5_section-l-2-svg1.jpg: 36.1% smaller
💾 Optimized 4a24215d58_prompting-strategies-students.jpg: 39.4% smaller
💾 Optimized 4a6ee013c1_semantic-caching.jpg: 38.9% smaller
💾 Optimized 4c3411aaca_section-l-1-svg1.jpg: 34.6% smaller
💾 Optimized 4d1023e3a7_census.jpg: 36.6% smaller
💾 Optimized 4b43ac29b3_streaming-sse-conveyor.jpg: 31.7% smaller
💾 Optimized 4dc9edbb26_bow-vs-embeddings.jpg: 41.2% smaller
💾 Optimized 4c27ce8bcd_edge-deployment-miniature.jpg: 39.9% smaller
💾 Optimized 4c4c98fe30_zero-vs-few-shot-chef.jpg: 33.8% smaller
💾 Optimized 4e1a5f178b_fig-9-2-4-the-three-attention-variants-compared-side-by-side-mha-stor.jpg: 35.0% smaller
💾 Optimized 4ec9edee79_fig-3-3-2-scaled-dot-product.jpg: 34.3% smaller
💾 Optimized 4e46ba5ec5_ch08-reasoning-model-landscape.jpg: 48.4% smaller
💾 Optimized 4f58359700_fig-6-1-2-encoder-timeline.jpg: 36.9% smaller
💾 Optimized 4f293c4191_ch34-world-model-snowglobe.jpg: 37.8% smaller
💾 Optimized 5076f96731_ai-gateway-traffic-controller.jpg: 38.8% smaller
💾 Optimized 54474b3621_five-role-patterns.jpg: 37.0% smaller
💾 Optimized 52a5db63dd_machine-unlearning-memory-removal.jpg: 39.2% smaller
💾 Optimized 513b3f9aae_fig-29-13-1-experiment-design-flow.jpg: 34.9% smaller
💾 Optimized 51d6813913_noisy-labels-orchestra.jpg: 32.6% smaller
💾 Optimized 54c3356b26_docs-as-control-panel.jpg: 34.8% smaller
💾 Optimized 53117ce244_documentation-control.jpg: 39.1% smaller
💾 Optimized 5562d82d3c_fig-4-2-2-decoder-only.jpg: 35.1% smaller
💾 Optimized 5b2cb5e086_attn.jpg: 36.3% smaller
💾 Optimized 569d3956af_data-augmentation-kaleidoscope.jpg: 41.9% smaller
⏩ Skipping small image: 5c63aab50c_prompt.jpg
💾 Optimized 57b02094b0_fig-4-3-3-rope.jpg: 34.5% smaller
💾 Optimized 573b547e51_figure-14-1-4.png: 84.2% smaller
💾 Optimized 5be32c2d28_rnn-vanishing-memory.jpg: 39.2% smaller
💾 Optimized 58a5579ca7_neural-network-machine.jpg: 38.1% smaller
💾 Optimized 5d068c4f47_fig-0-3-3-comp-graph.jpg: 35.9% smaller
💾 Optimized 5c90cfba75_gradient-descent-landscape.jpg: 38.4% smaller
💾 Optimized 5c6a2f7778_kv-cache-filing-cabinet.jpg: 36.2% smaller
💾 Optimized 5d5c88ad8f_fig-32-9-1-eu-ai-act-risk-tiers.jpg: 37.1% smaller
💾 Optimized 5dc6719a54_fine-tuning-old-dog.jpg: 37.5% smaller
💾 Optimized 5dae195113_learning-rate-warmup.jpg: 35.3% smaller
💾 Optimized 5e1482c6d6_chapter-opener.jpg: 38.0% smaller
💾 Optimized 6129914cc8_compass.jpg: 37.9% smaller
💾 Optimized 60b4359195_interpretability-xray.jpg: 37.5% smaller
💾 Optimized 5ef73c001a_gpu-datacenter-crosssection.jpg: 32.6% smaller
💾 Optimized 60d76c32d1_fig-2-3-4-tokenizer-landscape.jpg: 33.4% smaller
💾 Optimized 5efa32f661_rejection-sampling-panning.jpg: 34.8% smaller
💾 Optimized 62061395fe_fig-18-3-1-representation-engineering-extracts-control-vectors-from-con.jpg: 33.9% smaller
💾 Optimized 617cdfaf02_fig-9-5-1-the-2-4-structured-sparsity-pattern-every-group-of-4-weight.jpg: 37.1% smaller
💾 Optimized 62a250a112_chapter-opener.jpg: 36.7% smaller
💾 Optimized 6172ad0da2_attention-spotlight.jpg: 39.5% smaller
💾 Optimized 62c8f40e02_chapter-opener.jpg: 35.1% smaller
💾 Optimized 6684677b80_economic-design-token-kitchen.jpg: 36.5% smaller
💾 Optimized 670e06f567_fig-6-3-4-scaling-laws.jpg: 33.7% smaller
💾 Optimized 66a5793430_compute-planning-blueprint.jpg: 37.2% smaller
💾 Optimized 684c4526e6_chapter-opener.jpg: 42.3% smaller
💾 Optimized 68b357bc60_tensor.jpg: 36.7% smaller
💾 Optimized 669c11f3bb_hnsw-express-lanes.jpg: 33.0% smaller
💾 Optimized 67f8d456c3_benchmark-olympics.jpg: 32.7% smaller
💾 Optimized 683414e86c_cloud-fine-tuning-factory.jpg: 37.8% smaller
💾 Optimized 6a7bbfa60a_fig-4-3-6-pre-post-ln2.jpg: 32.8% smaller
💾 Optimized 6c3459edca_scale.jpg: 38.8% smaller
💾 Optimized 6b0d968b91_ch24-architecture-patterns.jpg: 38.7% smaller
💾 Optimized 6d3de95807_fig-5-2-3-top-p.jpg: 31.5% smaller
💾 Optimized 6c6289dcf9_fig-5-3-3-speculative.jpg: 37.5% smaller
💾 Optimized 6aa455ed12_figure-16-3-1.png: 83.2% smaller
💾 Optimized 6da153b2f7_figure-30-2-3.png: 78.8% smaller
💾 Optimized 6db30cb82c_chapter-opener.jpg: 34.3% smaller
💾 Optimized 6e2610c294_figure-33-5-1.png: 79.9% smaller
💾 Optimized 7166ea152d_prototype-loop.jpg: 36.9% smaller
💾 Optimized 752122efec_fig-34-10-domain-tokenization.jpg: 35.4% smaller
💾 Optimized 75dd39efcb_fig-18-4-2-approximate-positioning-of-explanation-methods-on-faithfulne.jpg: 34.3% smaller
💾 Optimized 7335440b85_fig-31-6-2-framework-comparison.jpg: 34.8% smaller
💾 Optimized 762650d790_fig-30-5-1-otel-llm-trace.jpg: 35.2% smaller
💾 Optimized 7566254f8a_analogy-polysemy-bank.jpg: 38.9% smaller
💾 Optimized 7a136fc322_hallux.jpg: 36.0% smaller
💾 Optimized 78a46ab1b6_fig-3-2-4-gradient-flow-through-attention-the-direct-path-scales-grad.jpg: 36.8% smaller
💾 Optimized 79c436f51f_chapter-opener.jpg: 39.6% smaller
💾 Optimized 76db26a80a_multimodal-senses-robot.jpg: 33.9% smaller
💾 Optimized 7af6cc4f07_word2vec-skipgram.jpg: 41.3% smaller
💾 Optimized 7ad3d9ee13_chapter-opener.jpg: 35.5% smaller
💾 Optimized 7b4f81836c_rag-agent-evaluation-inspector.jpg: 41.5% smaller
💾 Optimized 7ca74f0481_white-box-black-box.jpg: 37.6% smaller
💾 Optimized 7d0d430e1c_fig-0-4-2-rl-loop.jpg: 39.5% smaller
💾 Optimized 7c120bdded_chapter-opener.jpg: 37.6% smaller
💾 Optimized 7dadfde9f8_fig-3-1-5-the-lstm-cell-the-cell-state-green-line-at-top-acts-as-a.jpg: 38.3% smaller
💾 Optimized 7e0f19031b_model-role-spectrum.jpg: 37.8% smaller
💾 Optimized 7de50819e6_fig-6-8-1-production-llm-training-architecture-data-flows-from-object.jpg: 33.3% smaller
💾 Optimized 7e586381f3_eval-harness-laboratory.jpg: 36.9% smaller
💾 Optimized 7ed8261c08_fig-4-1-2-cross-entropy.jpg: 36.7% smaller
💾 Optimized 7e5d01d1fe_ch25-swebench-obstacle-course.jpg: 37.8% smaller
💾 Optimized 7fabdc6f06_frontier.jpg: 41.3% smaller
💾 Optimized 7f1f962352_llm-judge-courtroom-scene.jpg: 38.1% smaller
💾 Optimized 819f0456d5_fig-18-2-3-the-residual-stream-view-of-a-transformer-attention-heads-a.jpg: 37.1% smaller
💾 Optimized 7fb06a1aaf_lost-in-middle-sandwich.jpg: 38.7% smaller
💾 Optimized 8185a3a282_transformer-assembly-workbench.jpg: 38.3% smaller
💾 Optimized 85ec027475_fig-3-1-6-the-encoder-decoder-seq2seq-architecture-the-entire-sourc.jpg: 37.2% smaller
💾 Optimized 857c40f963_multilingual-models.jpg: 38.6% smaller
💾 Optimized 8287a8f2a4_span-corruption-cheese.jpg: 35.4% smaller
💾 Optimized 88c54ed9d0_fig-6-3-6-the-same-underlying-capability-can-appear-emergent-or-smooth.jpg: 35.2% smaller
💾 Optimized 8836b33f9c_tree-of-thought.jpg: 41.5% smaller
💾 Optimized 89fba90840_fig-18-3-2-a-debugging-workflow-using-interpretability-tools-attributi.jpg: 36.1% smaller
💾 Optimized 8a5e8eac87_pixel.jpg: 36.3% smaller
💾 Optimized 87bbcf74e5_transformer-expressiveness-puzzles.jpg: 38.4% smaller
💾 Optimized 8a2d625ea8_fig-18-4-1-raw-attention-shows-only-direct-attention-at-one-layer-atte.jpg: 33.6% smaller
💾 Optimized 8c809a733b_guard.jpg: 37.0% smaller
💾 Optimized 8a96c2d74d_fig-26-4-2-error-recovery-decision.jpg: 38.4% smaller
💾 Optimized 8de6ab301a_risk-feasibility.jpg: 38.1% smaller
💾 Optimized 8acd50ae16_product-management-juggling.jpg: 39.1% smaller
💾 Optimized 8bea4f1938_ch23-bad-tool-design.jpg: 36.2% smaller
💾 Optimized 8deba655bf_fig-8-2-1-three-patterns-for-reasoning-model-output-openai-hides-the.jpg: 33.3% smaller
💾 Optimized 8d1bad799b_deployment-rocket-launch.jpg: 34.8% smaller
💾 Optimized 8f5d1f94bd_reward.jpg: 36.3% smaller
💾 Optimized 8e78b6261c_fig-4-3-5-head-behaviors.jpg: 37.6% smaller
💾 Optimized 8e15c18870_crowdsourced-eval-arena.jpg: 36.0% smaller
💾 Optimized 8f42b40cb1_chapter-opener.jpg: 42.5% smaller
💾 Optimized 90e43b1456_lexica.jpg: 38.6% smaller
💾 Optimized 90991be125_case-studies-roles.jpg: 37.3% smaller
💾 Optimized 9224af6d8d_chapter-opener.jpg: 36.6% smaller
💾 Optimized 8f87270dfe_dropout-sleeping-neurons.jpg: 33.7% smaller
💾 Optimized 8f9c584c01_special-tokens-traffic.jpg: 36.0% smaller
⏩ Skipping small image: 95ee46fba4_alexander-apartsin.jpg
💾 Optimized 93a4f235ab_lock-in-portability.jpg: 37.4% smaller
💾 Optimized 94b28677e6_fig-0-2-2-perceptron.jpg: 36.3% smaller
💾 Optimized 932c71cd03_llm-judge-courtroom.jpg: 35.0% smaller
💾 Optimized 969a69fb9c_fig-6-4-3-data-pipeline.jpg: 32.9% smaller
💾 Optimized 94316c1381_fig-18-1-3-the-logit-lens-projects-hidden-states-from-each-layer-throug.jpg: 35.5% smaller
💾 Optimized 973eb0ad34_fig-4-1-7-residual-stream.jpg: 38.1% smaller
💾 Optimized 941aa6c043_qlora-truck-decals.jpg: 37.7% smaller
💾 Optimized 97d55b88d1_sentinel.jpg: 38.1% smaller
💾 Optimized 97a396f42c_ch35-human-ai-collaboration.jpg: 38.5% smaller
💾 Optimized 9b25713b3c_speculative-decoding.jpg: 39.2% smaller
💾 Optimized 9ad41413aa_fig-1-4-5-elmo-layers.jpg: 36.4% smaller
💾 Optimized 96d820f114_chapter-opener.jpg: 35.1% smaller
💾 Optimized 9b6cd700e0_ch24-human-in-loop.jpg: 38.1% smaller
💾 Optimized 9bb60d92ce_fig-9-1-2-quantization-granularity-levels-per-group-quantization-bot.jpg: 35.4% smaller
💾 Optimized 9c0cc51517_data-diversity-spectrum.jpg: 37.5% smaller
💾 Optimized 9c19d768aa_fig-10-2-2-structured-output-levels.jpg: 34.3% smaller
💾 Optimized 9c09a88bce_chunking-sushi-chef.jpg: 34.5% smaller
💾 Optimized 9c9c2f6929_chapter-opener.jpg: 39.9% smaller
💾 Optimized 9dcf4eb091_hallucination-wrong-treasure-map.jpg: 44.5% smaller
💾 Optimized 9dfcc87b3c_fig-3-3-3-multi-head.jpg: 36.1% smaller
💾 Optimized 9e39b4b3b2_prompt-template-madlibs.jpg: 33.6% smaller
💾 Optimized a045d4c0ff_speculative-decoding-apprentice.jpg: 42.2% smaller
💾 Optimized a0b3d58b0c_fig-6-2-2-clm-mlm.jpg: 34.4% smaller
💾 Optimized 9ede9993b8_prompt-chaining-relay.jpg: 33.3% smaller
💾 Optimized a07f3bbb4e_fig-2-1-2-vocab-spectrum.jpg: 37.3% smaller
💾 Optimized a20245c352_yehudit-aperstein.jpg: 47.8% smaller
💾 Optimized 9f89b22872_lora-sticky-note.jpg: 37.3% smaller
💾 Optimized a19cad707e_ch23-a2a-agents-talking.jpg: 37.0% smaller
💾 Optimized a3f2955426_fig-5-1-2-greedy.jpg: 35.3% smaller
💾 Optimized a533001902_fig-18-2-4-without-superposition-each-neuron-represents-one-feature-c.jpg: 32.9% smaller
💾 Optimized a4368a9406_huyenchip-rlhf-pipeline.png: 80.3% smaller
💾 Optimized a3c8eec124_product-quantization-paint.jpg: 34.2% smaller
💾 Optimized a563280c7a_ch34-memory-filing-cabinet.jpg: 38.0% smaller
💾 Optimized a5824e01d5_feasibility-funnel.jpg: 40.5% smaller
💾 Optimized a8a8555ea6_fig-20-3-graphrag-pipeline.jpg: 35.1% smaller
💾 Optimized a7ea0b2957_ch26-error-recovery-safety-net.jpg: 38.1% smaller
💾 Optimized a9d9d84b60_fig-1-2-2-stem-lemma.jpg: 35.6% smaller
💾 Optimized a964e1c6ac_fig-9-2-5-radixattention-organizes-cached-kv-prefixes-as-a-radix-tree.jpg: 38.0% smaller
💾 Optimized a9335f30cf_observability-tracing-detective.jpg: 34.7% smaller
💾 Optimized aa4c0aa075_rl-dog-training.jpg: 35.0% smaller
💾 Optimized ab4dbe2ae6_attention-detective-board.jpg: 35.6% smaller
💾 Optimized aa6d3425a3_data-quality-inspector.jpg: 31.9% smaller
💾 Optimized ac4eb30a14_fig-4-1-8-causal-mask.jpg: 32.9% smaller
💾 Optimized abb8f568d8_chapter-opener.jpg: 33.8% smaller
💾 Optimized acc35ab0d5_fig-8-1-2-performance-as-a-function-of-total-compute-under-three-scali.jpg: 36.7% smaller
💾 Optimized acb1a8884d_ch23-opener-tool-belt.jpg: 36.8% smaller
