
=== Optimize EPUB ===
💾 Optimized 29fb7b031b_fig-4-3-4-pos-strategies.png: 74.2% smaller
💾 Optimized 2a2a1956bc_fig-6-7-2-bayesian.png: 73.6% smaller
💾 Optimized 2ad98caeef_elmo-contextual.jpg: 10.2% smaller
💾 Optimized 2a7051ec44_fig-4-3-3-rope.png: 73.7% smaller
💾 Optimized 2b2bf54e3a_fig-18-4-2-approximate-positioning-of-explanation-methods-on-faithfulne.png: 73.4% smaller
💾 Optimized 2b179d3cd1_fig-20-7-1-graphrag-pipeline.png: 74.4% smaller
💾 Optimized 2b4a00f6c7_ch34-emergence-mirage.jpg: 5.9% smaller
💾 Optimized 2d100adf3a_ch23-function-calling-loop.jpg: 10.1% smaller
💾 Optimized 2bfe8fd346_fig-10-1-2-llm-api-ecosystem.png: 72.8% smaller
💾 Optimized 2c6ed0c85d_vendor-evaluation-market.jpg: 0.5% smaller
💾 Optimized 2c785694da_reliability-engineering-safety-net.jpg: 2.2% smaller
💾 Optimized 2dfe84cb4d_chapter-opener.jpg: 6.1% smaller
💾 Optimized 2d24760894_federated-learning-distributed.jpg: 1.9% smaller
💾 Optimized 2e4bb9848d_fig-1-3-5-cosine-sim.png: 75.3% smaller
💾 Optimized 2f8eb5a371_fig-9-2-5-radixattention-organizes-cached-kv-prefixes-as-a-radix-tree.png: 75.5% smaller
💾 Optimized 2f9c4dd3e2_fig-7-3-2-train-test-scaling.png: 74.4% smaller
💾 Optimized 3043881f29_nlp-tasks-overview.jpg: 8.5% smaller
💾 Optimized 2fdd9eba35_ch26-prompt-injection-trojan.jpg: 4.9% smaller
💾 Optimized 31becdf424_vec.jpg: 0.9% smaller
💾 Optimized 3051ef9ee8_fig-18-3-1-representation-engineering-extracts-control-vectors-from-con.png: 73.8% smaller
💾 Optimized 30743ba987_diffusion-vs-autoregressive-painters.jpg: 3.3% smaller
💾 Optimized 32194f81b4_fig-4-1-7-pre-post-ln.png: 73.4% smaller
💾 Optimized 30dad3b349_section-l-2-svg1.png: 73.8% smaller
💾 Optimized 3340a97eeb_finetune.jpg: 0.4% smaller
💾 Optimized 329c51d10a_cost-engine-levers.jpg: 3.3% smaller
💾 Optimized 32977d1412_hf-rlhf-training.png: 73.2% smaller
💾 Optimized 33c2a6c17b_fig-1-2-4-tfidf.png: 75.1% smaller
💾 Optimized 36152c822a_fig-7-4-3-illustrative-performance-gap-on-multilingual-qa-benchmarks.png: 78.2% smaller
💾 Optimized 33dca4fbdb_fig-6-1-4-param-growth.png: 73.6% smaller
💾 Optimized 3425a7394a_ch25-research-agent-detective.jpg: 3.1% smaller
💾 Optimized 36046a89a1_ch08-compute-optimal-budget.jpg: 3.5% smaller
💾 Optimized 3705b51961_echo.jpg: 3.1% smaller
💾 Optimized 367e94b992_chapter-opener.jpg: 3.4% smaller
💾 Optimized 36b3daf999_data-curation-gold-panning.jpg: 2.8% smaller
💾 Optimized 364b66926e_fig-9-3-3-tree-structured-verification-evaluates-multiple-candidate-pa.png: 74.5% smaller
💾 Optimized 38e449e93e_distill.jpg: 1.0% smaller
💾 Optimized 37a9d653d7_fig-6-1-2-encoder-timeline.png: 73.1% smaller
⏩ Skipping small image: 399fee4ae6_quant.jpg
💾 Optimized 37d6c6ee5a_ch08-prompting-reasoning-models.jpg: 10.8% smaller
💾 Optimized 37b135f76f_advanced-rag-treasure-hunt.jpg: 5.6% smaller
💾 Optimized 3893004127_circuit-breaker-pattern.jpg: 9.5% smaller
💾 Optimized 391dab83f6_multi-head-detectives.jpg: 5.1% smaller
💾 Optimized 396683f182_quantization-diet.jpg: 4.5% smaller
💾 Optimized 3b7273914e_ch08-proof-assistant-handshake.jpg: 4.9% smaller
⏩ Skipping small image: 39a2617f11_frontier.jpg
⏩ Skipping small image: 3ed60a9bf8_sage.jpg
💾 Optimized 3dc0287aa7_strategy-use-case-funnel.jpg: 8.1% smaller
💾 Optimized 3cdecc9836_analogy-filing-cabinet.jpg: 5.5% smaller
💾 Optimized 3e01041756_catastrophic-forgetting.jpg: 8.6% smaller
💾 Optimized 3ede953304_fig-7-1-4-bolt-on-multimodal-architecture-left-connects-a-separate-v.jpg: 5.7% smaller
💾 Optimized 3ec71f65cf_fig-7-2-1-deepseek-v3.png: 75.7% smaller
💾 Optimized 408a1a9dd7_embedding-space-party.jpg: 7.1% smaller
💾 Optimized 3f995bb699_qlora-truck-decals.jpg: 5.4% smaller
💾 Optimized 4065f75119_fig-0-2-4-backprop.png: 75.5% smaller
💾 Optimized 40c2997d99_chapter-opener.jpg: 2.9% smaller
💾 Optimized 40f44d8f92_fig-18-2-4-without-superposition-each-neuron-represents-one-feature-c.png: 75.1% smaller
💾 Optimized 4380ef6aef_tokenization-artifacts-telephone.jpg: 7.0% smaller
💾 Optimized 42e01ee9d6_fig-3-2-4-gradient-attention.png: 73.5% smaller
💾 Optimized 464a88d5b1_ch25-code-agent-debug-loop.jpg: 4.8% smaller
💾 Optimized 43f513e8b7_serving-stack-restaurant.jpg: 7.9% smaller
💾 Optimized 43a4d70abb_fig-4-4-3-flash-attention.png: 74.4% smaller
💾 Optimized 4723c936c4_norm.jpg: 2.8% smaller
💾 Optimized 4752903f88_late-interaction-judges.jpg: 0.4% smaller
💾 Optimized 466e61b64f_fig-20-8-1-rag-ingestion-pipeline.png: 74.6% smaller
⏩ Skipping small image: 4a16cd50da_bert.jpg
💾 Optimized 470cd628c3_overfitting-vs-generalization.jpg: 3.6% smaller
💾 Optimized 47bf8ec5b0_ch23-mcp-usb-analogy.jpg: 9.3% smaller
💾 Optimized 47a6c5cdcd_fig-9-2-2-pagedattention-maps-logical-kv-cache-blocks-to-non-contiguou.png: 71.8% smaller
⏩ Skipping small image: 4c52fafab6_sentinel.jpg
💾 Optimized 4786904b8b_fig-34-10-domain-tokenization.png: 72.8% smaller
💾 Optimized 4948f477fe_hnsw-city-navigation.jpg: 7.7% smaller
💾 Optimized 4a24215d58_prompting-strategies-students.jpg: 9.2% smaller
💾 Optimized 4a6ee013c1_semantic-caching.jpg: 7.0% smaller
💾 Optimized 4c27ce8bcd_edge-deployment-miniature.jpg: 1.5% smaller
💾 Optimized 4dc9edbb26_bow-vs-embeddings.jpg: 12.7% smaller
💾 Optimized 4c9e4512ab_fig-5-1-2-greedy.png: 74.6% smaller
💾 Optimized 4e46ba5ec5_ch08-reasoning-model-landscape.jpg: 4.5% smaller
💾 Optimized 4f293c4191_ch34-world-model-snowglobe.jpg: 7.0% smaller
💾 Optimized 5076f96731_ai-gateway-traffic-controller.jpg: 3.0% smaller
💾 Optimized 54474b3621_five-role-patterns.jpg: 5.0% smaller
💾 Optimized 52a5db63dd_machine-unlearning-memory-removal.jpg: 2.7% smaller
💾 Optimized 524488f049_fig-7-3-3-orms-provide-only-a-binary-signal-on-the-final-answer-prms.png: 75.3% smaller
💾 Optimized 5562d82d3c_fig-4-2-2-decoder-only.jpg: 8.6% smaller
💾 Optimized 54c8c82d67_fig-18-1-3-the-logit-lens-projects-hidden-states-from-each-layer-throug.png: 73.6% smaller
💾 Optimized 569d3956af_data-augmentation-kaleidoscope.jpg: 2.6% smaller
💾 Optimized 55d7a28dc6_fig-3-1-6-seq2seq.png: 73.3% smaller
💾 Optimized 573b547e51_figure-14-1-4.png: 78.3% smaller
💾 Optimized 58a5579ca7_neural-network-machine.jpg: 2.9% smaller
💾 Optimized 573c196d03_chapter-opener.jpg: 0.1% smaller
💾 Optimized 5b2cb5e086_attn.jpg: 1.5% smaller
💾 Optimized 55a28191a4_fig-8-1-3-the-four-major-reasoning-architecture-approaches-compared-e.png: 75.1% smaller
⏩ Skipping small image: 5c63aab50c_prompt.jpg
💾 Optimized 59e2354b09_ml-vs-llm-toolbox.jpg: 6.7% smaller
💾 Optimized 5c229f0a5d_memory-taxonomy-five-layers.png: 74.3% smaller
💾 Optimized 5c6a2f7778_kv-cache-filing-cabinet.jpg: 0.7% smaller
💾 Optimized 5ba385dece_fig-2-1-3-multilingual-tokens.png: 74.0% smaller
💾 Optimized 5e1482c6d6_chapter-opener.jpg: 4.6% smaller
⏩ Skipping small image: 6129914cc8_compass.jpg
💾 Optimized 5db540da44_fig-9-1-3-gptq-compensates-for-rounding-errors-across-columns-using-th.png: 74.8% smaller
💾 Optimized 5dc6719a54_fine-tuning-old-dog.jpg: 4.2% smaller
💾 Optimized 60b4359195_interpretability-xray.jpg: 2.7% smaller
💾 Optimized 61221877fa_latency-cost-race.jpg: 3.1% smaller
💾 Optimized 62a250a112_chapter-opener.jpg: 3.2% smaller
💾 Optimized 628ac88ad2_fig-6-3-7-an-moe-layer-with-6-experts-and-top-2-routing-the-router-as.png: 74.2% smaller
💾 Optimized 62a6b03618_fig-18-2-3-the-residual-stream-view-of-a-transformer-attention-heads-a.png: 74.3% smaller
💾 Optimized 62c8f40e02_chapter-opener.jpg: 3.4% smaller
💾 Optimized 63e6671081_fig-8-4-1-decision-flowchart-for-choosing-between-standard-and-reasoni.png: 75.6% smaller
💾 Optimized 6684677b80_economic-design-token-kitchen.jpg: 3.0% smaller
💾 Optimized 63dbe6c5b6_fig-18-3-2-a-debugging-workflow-using-interpretability-tools-attributi.png: 73.8% smaller
⏩ Skipping small image: 68b357bc60_tensor.jpg
💾 Optimized 66a5793430_compute-planning-blueprint.jpg: 1.9% smaller
💾 Optimized 678ebca0d9_pipeline-vs-native-multimodal.jpg: 5.4% smaller
💾 Optimized 655c1b2b37_fig-9-5-1-the-2-4-structured-sparsity-pattern-every-group-of-4-weight.png: 73.6% smaller
💾 Optimized 683414e86c_cloud-fine-tuning-factory.jpg: 0.3% smaller
💾 Optimized 6b0d968b91_ch24-architecture-patterns.jpg: 9.5% smaller
💾 Optimized 6ba85c6510_fig-34-4-2-world-model-architecture.jpg: 5.9% smaller
💾 Optimized 6c3459edca_scale.jpg: 3.5% smaller
💾 Optimized 6a794a8005_fig-5-3-3-speculative.png: 73.9% smaller
💾 Optimized 6d3de95807_fig-5-2-3-top-p.jpg: 1.0% smaller
💾 Optimized 6ab44944be_restaurant-kitchen-architecture.jpg: 0.1% smaller
💾 Optimized 6e2610c294_figure-33-5-1.png: 72.3% smaller
💾 Optimized 6d1fee7566_fig-0-3-3-comp-graph.png: 72.5% smaller
💾 Optimized 70c4607d44_fig-8-2-1-three-patterns-for-reasoning-model-output-openai-hides-the.png: 74.9% smaller
💾 Optimized 7416ec73d9_fig-38-3-4-portable-monogamy-architecture.jpg: 8.8% smaller
💾 Optimized 6e62a619e5_fig-31-6-2-framework-comparison.png: 75.5% smaller
💾 Optimized 70cbc7c53a_llm-judge-courtroom.jpg: 3.6% smaller
💾 Optimized 7912f97d67_fig-0-4-2-rl-loop.png: 73.7% smaller
💾 Optimized 7566254f8a_analogy-polysemy-bank.jpg: 6.8% smaller
💾 Optimized 79c436f51f_chapter-opener.jpg: 6.4% smaller
💾 Optimized 77b477db66_fig-28-1-2-fill-in-the-middle-fim-the-model-receives-prefix-and-suff.png: 75.6% smaller
💾 Optimized 7af6cc4f07_word2vec-skipgram.jpg: 12.7% smaller
💾 Optimized 72d8299caf_chapter-opener.jpg: 0.9% smaller
💾 Optimized 7c120bdded_chapter-opener.jpg: 3.1% smaller
💾 Optimized 7cb46fe890_fig-4-1-8-causal-mask.png: 72.9% smaller
💾 Optimized 7b96ba947c_fig-12-8-1-log-to-dataset-pipeline.png: 73.2% smaller
💾 Optimized 7fcb13e602_reranking-judges-panel.jpg: 4.8% smaller
💾 Optimized 7e7d75db26_fig-1-1-4-nlp-tasks.png: 75.7% smaller
💾 Optimized 7e9d315e0d_fig-9-4-2-the-layers-of-an-llm-serving-stack-from-http-clients-down-t.png: 74.4% smaller
💾 Optimized 7f1f962352_llm-judge-courtroom-scene.jpg: 1.0% smaller
💾 Optimized 8034d22d35_fig-9-2-4-the-three-attention-variants-compared-side-by-side-mha-stor.png: 74.3% smaller
💾 Optimized 8425c64516_dpo-vs-rlhf-comparison.jpg: 5.3% smaller
💾 Optimized 881b987032_fig-38-1-1-token-to-dollar-pipeline.jpg: 1.7% smaller
💾 Optimized 82437e0f13_fig-21-6-1-voice-agent-architecture.png: 75.1% smaller
💾 Optimized 842623bca5_fig-3-3-2-scaled-dot-product.png: 73.7% smaller
💾 Optimized 87bbcf74e5_transformer-expressiveness-puzzles.jpg: 4.7% smaller
💾 Optimized 8185a3a282_transformer-assembly-workbench.jpg: 3.8% smaller
⏩ Skipping small image: 8a5e8eac87_pixel.jpg
💾 Optimized 857c40f963_multilingual-models.jpg: 5.0% smaller
💾 Optimized 8836b33f9c_tree-of-thought.jpg: 7.5% smaller
⏩ Skipping small image: 8c809a733b_guard.jpg
💾 Optimized 8998de0cf0_fig-1-3-1-skipgram.png: 73.8% smaller
💾 Optimized 88d75266f6_fig-9-3-2-speculative-decoding-drafts-gamma-tokens-with-a-fast-model.png: 74.9% smaller
💾 Optimized 8bea4f1938_ch23-bad-tool-design.jpg: 2.6% smaller
💾 Optimized 8babee6494_fig-1-2-1-nlp-pipeline.png: 74.9% smaller
💾 Optimized 8acd50ae16_product-management-juggling.jpg: 0.5% smaller
💾 Optimized 8cbdb86758_fig-10-2-4-function-calling-loop.png: 73.1% smaller
💾 Optimized 8df7506c5b_fig-27-5-1-vision-language-action-pipeline.jpg: 3.0% smaller
💾 Optimized 8db2143ef7_fig-7-4-2-multilingual-models-map-different-languages-into-a-shared-re.png: 71.3% smaller
💾 Optimized 8df67da8f2_hnsw-express-lanes.jpg: 1.6% smaller
💾 Optimized 8e8d7165ff_fig-1-1-6-linguistic-layers.png: 74.8% smaller
⏩ Skipping small image: 90e43b1456_lexica.jpg
💾 Optimized 8f42b40cb1_chapter-opener.jpg: 2.4% smaller
⏩ Skipping small image: 8f5d1f94bd_reward.jpg
💾 Optimized 9037ba90cf_fig-6-6-4-pipeline.png: 75.0% smaller
💾 Optimized 8e726ee120_fig-7-3-4-mcts-for-language-reasoning-numbers-show-value-visits-the.png: 72.6% smaller
💾 Optimized 90f0b51eaa_fig-4-3-6-pre-post-ln2.png: 72.8% smaller
💾 Optimized 9224af6d8d_chapter-opener.jpg: 3.1% smaller
⏩ Skipping small image: 95ee46fba4_alexander-apartsin.jpg
💾 Optimized 93a4f235ab_lock-in-portability.jpg: 0.3% smaller
💾 Optimized 96d820f114_chapter-opener.jpg: 3.9% smaller
💾 Optimized 979959b53f_pair-programming-robot.jpg: 1.0% smaller
💾 Optimized 91643f43ff_fig-6-3-6-the-same-underlying-capability-can-appear-emergent-or-smooth.png: 73.9% smaller
💾 Optimized 9778cf68f9_fig-5-4-3-ar-vs-diffusion.png: 74.6% smaller
💾 Optimized 92887456ac_fig-11-6-1-dspy-optimization-loop.png: 74.7% smaller
💾 Optimized 97b74bbef4_fig-26-3-2-agent-observability-stack.jpg: 7.2% smaller
💾 Optimized 9a2e7b20ca_fig-1-4-2-static-contextual.png: 74.9% smaller
💾 Optimized 9b25713b3c_speculative-decoding.jpg: 6.9% smaller
💾 Optimized 9c57517775_clm-vs-mlm-puzzle.jpg: 1.0% smaller
💾 Optimized 9ab410165c_fig-26-4-2-error-recovery-decision.png: 74.2% smaller
💾 Optimized 9c9c2f6929_chapter-opener.jpg: 1.1% smaller
💾 Optimized 9b6cd700e0_ch24-human-in-loop.jpg: 6.6% smaller
💾 Optimized 9dae1ebf5f_special-tokens-traffic.jpg: 2.3% smaller
💾 Optimized 9dcf4eb091_hallucination-wrong-treasure-map.jpg: 4.7% smaller
💾 Optimized 9f2032cf6f_fig-1-2-2-stem-lemma.png: 74.4% smaller
💾 Optimized a045d4c0ff_speculative-decoding-apprentice.jpg: 7.2% smaller
💾 Optimized 9febb8693c_fig-2-3-3-multimodal-tokens.png: 74.9% smaller
⏩ Skipping small image: a20245c352_yehudit-aperstein.jpg
💾 Optimized a1265e5d4e_knowledge-graph-subway-map.jpg: 3.5% smaller
💾 Optimized a15a6de163_fig-0-2-2-perceptron.png: 73.6% smaller
💾 Optimized a19cad707e_ch23-a2a-agents-talking.jpg: 6.1% smaller
💾 Optimized a4368a9406_huyenchip-rlhf-pipeline.png: 74.9% smaller
💾 Optimized a183f38fc8_section-l-3-svg1.png: 74.4% smaller
💾 Optimized a27b3a3f6a_fig-20-3-graphrag-pipeline.png: 73.0% smaller
💾 Optimized a563280c7a_ch34-memory-filing-cabinet.jpg: 5.4% smaller
💾 Optimized a5824e01d5_feasibility-funnel.jpg: 8.8% smaller
💾 Optimized a716b3da37_fig-31-6-1-durable-execution-recovery.png: 75.0% smaller
💾 Optimized a7e17e7d06_hyde-crystal-ball.jpg: 0.4% smaller
💾 Optimized a75e9b245d_synthetic-data-factory.jpg: 2.4% smaller
💾 Optimized a75508a60e_fig-6-3-4-scaling-laws.png: 75.6% smaller
💾 Optimized a7ea0b2957_ch26-error-recovery-safety-net.jpg: 5.6% smaller
💾 Optimized ab4dbe2ae6_attention-detective-board.jpg: 2.0% smaller
💾 Optimized acc35ab0d5_fig-8-1-2-performance-as-a-function-of-total-compute-under-three-scali.jpg: 9.5% smaller
💾 Optimized acb1a8884d_ch23-opener-tool-belt.jpg: 4.0% smaller
💾 Optimized acec5b7379_fig-26-1-3-prompt-injection-defense-layers.jpg: 8.1% smaller
💾 Optimized accda329fc_chapter-opener.jpg: 10.1% smaller
💾 Optimized ae21df5612_cognitive-lockin-curves.jpg: 4.5% smaller
💾 Optimized aec9eb1c05_demo-vs-production.jpg: 2.9% smaller
💾 Optimized aedcc92bac_section-l-1-svg1.png: 73.5% smaller
💾 Optimized af979e23f2_hybrid-pipeline-assembly.jpg: 1.4% smaller
💾 Optimized afd41f5114_memory-management-containers.jpg: 8.2% smaller
💾 Optimized b0c225dc46_chapter-opener.jpg: 7.2% smaller
💾 Optimized b27b3ca489_agentic-rag-detective.jpg: 0.3% smaller
💾 Optimized b2db43be4c_greedy-vs-beam-search-hiker.jpg: 0.8% smaller
💾 Optimized b34c895805_ch26-opener-castle-defense.jpg: 3.7% smaller
💾 Optimized aeca318d2b_fig-4-1-4-pos-encoding.png: 63.0% smaller
💾 Optimized aabbc79171_fig-10-2-2-structured-output-levels.png: 74.6% smaller
⏩ Skipping small image: b5b1b27aef_token.jpg
💾 Optimized b34a9de6ac_fig-6-8-1-production-llm-training-architecture-data-flows-from-object.png: 72.6% smaller
💾 Optimized b3537eb9f2_fig-0-1-2-gradient-descent-follows-the-slope-downhill-step-by-step-t.png: 76.4% smaller
💾 Optimized b395c1e943_ch34-opener-frontier-telescope.jpg: 0.1% smaller
💾 Optimized b3ac49d10c_fig-3-1-3-vanishing-grad.png: 74.5% smaller
💾 Optimized b84100558d_rnn-telegraph-operator.jpg: 4.7% smaller
💾 Optimized b96661e69b_lora-weights-raschka.png: 78.6% smaller
💾 Optimized b7fa29f9cd_model-collapse-spiral.jpg: 5.1% smaller
💾 Optimized b98fc7a2f5_temperature-dj-dial.jpg: 0.9% smaller
💾 Optimized b9b6bb6338_graphrag-detective-board.jpg: 1.3% smaller
💾 Optimized b99515969d_fig-3-3-3-multi-head.png: 73.6% smaller
💾 Optimized bb41b1f4c7_green-ai-carbon-footprint.jpg: 5.3% smaller
💾 Optimized b9d9193c67_sequence-packing-tetris.jpg: 9.1% smaller
💾 Optimized ba16442e59_chapter-opener.jpg: 2.8% smaller
💾 Optimized bb4c5a4fd3_enterprise-integration-plumbing.jpg: 4.6% smaller
💾 Optimized bdb421b4b1_scaling-laws-power-law.jpg: 5.1% smaller
💾 Optimized bdf9cf383e_fig-0-3-5-training-loop.png: 72.7% smaller
💾 Optimized bad478e6b2_fig-18-1-2-common-attention-head-types-observed-across-transformer-mode.png: 73.4% smaller
💾 Optimized befe058f93_document-ai-reader.jpg: 5.5% smaller
💾 Optimized bf18ee5e5e_chapter-opener.jpg: 2.0% smaller
💾 Optimized c2328772bf_fig-4-5-2-complexity.png: 76.6% smaller
💾 Optimized c1cb1950c4_figure-12-4-2.png: 70.4% smaller
💾 Optimized bef68d5f72_chapter-opener.jpg: 4.6% smaller
💾 Optimized c25e79f5b8_ddpm-forward-reverse-process.png: 64.7% smaller
💾 Optimized c2ce97d37b_fig-2-2-5-byte-bpe.png: 74.5% smaller
💾 Optimized c51643dfe8_fig-7-1-3-reasoning-token-flow-in-inference-time-compute-models-think.png: 73.6% smaller
⏩ Skipping small image: c5d2158e21_rag.jpg
💾 Optimized c2e855f3f8_copilots-every-stage.jpg: 5.3% smaller
💾 Optimized c593171fa4_fig-6-2-4-multi-token-pred.png: 75.2% smaller
⏩ Skipping small image: cadf15e32b_eval.jpg
💾 Optimized c80d763841_fig-5-4-2-diffusion.png: 74.6% smaller
💾 Optimized c846100583_knowledge-graph-islands.jpg: 3.9% smaller
💾 Optimized c3c71fbe80_nlp-timeline.jpg: 12.7% smaller
💾 Optimized cd5f2c985e_word-embedding-space.jpg: 9.9% smaller
💾 Optimized c94872a58a_ch34-alternative-architectures-zoo.jpg: 4.4% smaller
💾 Optimized cb39dd6ce7_structured-output-mold.jpg: 2.0% smaller
💾 Optimized cbed784171_roi-measurement-balance.jpg: 7.0% smaller
💾 Optimized ce292e27bf_quality-gate-pipeline.png: 74.0% smaller
💾 Optimized c45922b8ea_pytorch-workbench.jpg: 2.8% smaller
💾 Optimized ce5ad54369_fig-32-9-1-eu-ai-act-risk-tiers.png: 75.6% smaller
💾 Optimized cf61d2e67e_fig-34-3-2-mamba-vs-transformer.jpg: 5.3% smaller
💾 Optimized cef34dbee1_fig-4-4-2-gpu-memory.png: 74.3% smaller
💾 Optimized cff64d8dfb_fig-1-4-3-elmo.png: 74.4% smaller
💾 Optimized d0a171888f_persona-dressing-room.jpg: 0.4% smaller
💾 Optimized ceb12abead_fig-4-3-5-head-behaviors.png: 72.7% smaller
💾 Optimized d12808c040_chunking-baguette.jpg: 6.9% smaller
💾 Optimized d3e101722d_colpali-xray-vision.jpg: 1.6% smaller
💾 Optimized d125f2f2e3_fig-29-13-1-experiment-design-flow.png: 73.2% smaller
💾 Optimized d1353e43d2_fig-31-9-1-k8s-llm-stack.png: 76.0% smaller
💾 Optimized d19fa8a1e4_contrastive-learning-magnets.jpg: 2.7% smaller
⏩ Skipping small image: d973ef6a80_pip.jpg
💾 Optimized d442f29225_fig-10-1-5-api-request-response.png: 75.8% smaller
💾 Optimized d4746e6e02_fig-2-1-2-vocab-spectrum.png: 74.5% smaller
💾 Optimized d531364130_fig-9-4-3-llm-request-latency-comprises-the-prefill-phase-ttft-and-t.png: 74.1% smaller
💾 Optimized d7533aab03_bias-fairness-scales.jpg: 3.9% smaller
💾 Optimized da548b0f70_analogy-negative-sampling.jpg: 4.3% smaller
